driver_1,driver_2,constructorId,year,driver_1_points,driver_2_points
660,670,105,1953,0,4
660,691,105,1953,0,2
660,695,105,1953,0,2
660,697,105,1953,0,7
669,670,105,1953,0,4
669,691,105,1953,0,2
669,695,105,1953,0,2
669,697,105,1953,0,7
670,691,105,1953,4,2
670,695,105,1953,4,2
670,697,105,1953,4,7
691,695,105,1953,2,2
691,697,105,1953,2,7
695,697,105,1953,2,7
456,475,105,1954,0,4
456,496,105,1954,0,0
456,501,105,1954,0,0
456,541,105,1954,0,0
456,577,105,1954,0,6
456,579,105,1954,0,17
456,580,105,1954,0,0
456,627,105,1954,0,0
456,633,105,1954,0,2
456,638,105,1954,0,0
456,640,105,1954,0,0
456,643,105,1954,0,6
456,644,105,1954,0,4
456,647,105,1954,0,0
456,663,105,1954,0,0
456,669,105,1954,0,3
456,670,105,1954,0,4
456,672,105,1954,0,0
456,694,105,1954,0,0
475,496,105,1954,4,0
475,501,105,1954,4,0
475,541,105,1954,4,0
475,577,105,1954,4,6
475,579,105,1954,4,17
475,580,105,1954,4,0
475,627,105,1954,4,0
475,633,105,1954,4,2
475,638,105,1954,4,0
475,640,105,1954,4,0
475,643,105,1954,4,6
475,644,105,1954,4,4
475,647,105,1954,4,0
475,663,105,1954,4,0
475,669,105,1954,4,3
475,670,105,1954,4,4
475,672,105,1954,4,0
475,694,105,1954,4,0
496,501,105,1954,0,0
496,541,105,1954,0,0
496,577,105,1954,0,6
496,579,105,1954,0,17
496,580,105,1954,0,0
496,627,105,1954,0,0
496,633,105,1954,0,2
496,638,105,1954,0,0
496,640,105,1954,0,0
496,643,105,1954,0,6
496,644,105,1954,0,4
496,647,105,1954,0,0
496,663,105,1954,0,0
496,669,105,1954,0,3
496,670,105,1954,0,4
496,672,105,1954,0,0
496,694,105,1954,0,0
501,541,105,1954,0,0
501,577,105,1954,0,6
501,579,105,1954,0,17
501,580,105,1954,0,0
501,627,105,1954,0,0
501,633,105,1954,0,2
501,638,105,1954,0,0
501,640,105,1954,0,0
501,643,105,1954,0,6
501,644,105,1954,0,4
501,647,105,1954,0,0
501,663,105,1954,0,0
501,669,105,1954,0,3
501,670,105,1954,0,4
501,672,105,1954,0,0
501,694,105,1954,0,0
541,577,105,1954,0,6
541,579,105,1954,0,17
541,580,105,1954,0,0
541,627,105,1954,0,0
541,633,105,1954,0,2
541,638,105,1954,0,0
541,640,105,1954,0,0
541,643,105,1954,0,6
541,644,105,1954,0,4
541,647,105,1954,0,0
541,663,105,1954,0,0
541,669,105,1954,0,3
